JP,EN,trial,ratio,n_ok
P35,2021/06/30,0,0,0
P36,2021/06/30,0,0,0
P36,2021/06/30,0,0,0
P36,2021/06/30,0,0,0
P36,2021/06/30,0,0,0
P36,2021/06/30,0,0,0
P36,2021/06/30,0,0,0
P37,2021/07/01,0,0,0
P38,2021/07/01,0,0,0
P38,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P42,2021/07/01,0,0,0
P43,2021/07/01,0,0,0
P43,2021/07/01,0,0,0
P43,2021/07/01,0,0,0
P43,2021/07/01,0,0,0
P43,2021/07/01,0,0,0
P44,2021/07/01,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P44,2021/07/02,0,0,0
P46,2021/07/02,0,0,0
P46,2021/07/02,0,0,0
P46,2021/07/02,0,0,0
P46,2021/07/02,0,0,0
P46,2021/07/02,0,0,0
P46,2021/07/02,0,0,0
P46,2021/07/02,0,0,0
P46,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P47,2021/07/02,0,0,0
P48,2021/07/02,0,0,0
P48,2021/07/02,0,0,0
P48,2021/07/02,0,0,0
P48,2021/07/02,0,0,0
P48,2021/07/02,0,0,0
P48,2021/07/02,0,0,0
